[784.56, -162.08]
[291.73, 1233.95]
[300.93, 1166.32]
[269.55, 1098.69]
[328.52, 1075.96]
[345.84, 1095.98]
[307.96, 1021.32]
[316.62, 995.34]
[317.16, 965.59]
[348.54, 1031.6]
[397.78, 1048.91]
[410.22, 999.67]
[364.77, 1067.85]
[373.97, 1094.36]
[436.73, 985.61]
[428.62, 1027.81]
[495.17, 966.67]
[355.57, 883.35]
[322.57, 926.63]
[348.0, 952.06]
[292.81, 933.12]
[613.66, 811.93]
[621.77, 874.15]
[650.45, 841.15]
[638.0, 787.58]
[625.02, 924.47]
[584.98, 922.3]
[587.14, 986.15]
[582.82, 1021.86]
[513.56, 933.12]
[484.34, 901.74]
[462.7, 920.68]
[472.44, 968.29]
[451.88, 1031.05]
[552.52, 1112.21]
[358.82, 995.89]
[656.4, 1069.47]
[660.73, 1135.48]
[500.93, 1172.37]
[519.33, 1224.52]
[517.03, 1273.59]
[503.23, 1325.73]
[572.24, 1178.51]
[584.51, 1262.85]
[653.85, 1256.61]
[610.03, 1211.62]
[596.34, 1175.24]
[613.16, 1168.98]
[626.62, 1268.85]
[642.46, 1292.22]
[646.03, 1324.29]
[647.22, 1363.11]
[589.0, 1334.2]
[557.71, 1306.08]
[558.5, 1340.93]
[564.84, 1280.33]
[544.12, 1373.23]
[563.31, 1411.96]
[483.34, 1457.3]
[507.69, 1497.89]
[530.01, 1530.36]
[468.46, 1524.95]
[488.08, 1560.12]
[501.66, 1065.38]
[513.3, 1098.25]
[513.3, 1144.13]
[471.09, 1046.97]
[472.84, 1074.56]
[478.43, 1109.5]
[467.25, 1184.85]
[453.86, 1229.1]
[427.07, 1166.79]
[390.97, 1123.71]
[385.15, 1149.91]
[374.67, 1178.44]
[356.62, 1149.91]
[369.43, 1119.63]
[281.51, 1113.23]
[338.15, 1243.12]
[299.42, 1285.64]
[298.15, 1331.11]
[365.52, 1274.69]
[351.62, 1305.01]
[469.09, 1310.06]
[450.56, 1300.37]
[424.04, 1286.06]
[367.62, 1213.64]
[255.35, 1365.21]
[237.81, 1423.45]
[416.04, 1445.91]
[418.85, 1384.86]
[401.3, 1365.91]
[344.47, 1374.33]
[354.29, 1433.98]
[366.11, 1482.71]
[371.91, 1528.37]
[406.98, 1673.42]
[356.07, 1581.66]
[289.06, 1562.94]
[304.41, 1522.7]
[307.03, 1482.27]
[284.33, 1498.62]
[265.02, 1497.5]
[270.59, 1460.36]
[320.73, 1546.16]
[329.27, 1519.42]
[330.76, 1487.48]
[403.97, 1508.11]
[396.39, 1468.31]
[459.66, 1496.21]
[627.04, 1397.26]
[630.72, 1432.52]
[649.14, 1390.41]
[680.2, 1450.94]
[721.78, 1351.99]
[397.2, 1182.15]
[556.86, 1339.18]
[415.62, 1186.54]
[721.25, 1314.09]
[670.72, 1401.47]
[266.51, 1538.73]
[415.34, 1416.44]
[598.11, 1367.86]
[632.33, 1182.67]
[584.51, 1230.65]
[535.2, 1060.27]
[550.35, 968.83]
[368.56, 846.01]
[124.44, 1039.36]
[30.37, 1081.58]
[99.63, 830.51]
[159.3, 937.69]
[185.69, 827.34]
[214.2, 869.05]
[577.4, 785.19]
[502.02, 735.57]
[442.2, 763.73]
[595.78, 678.7]
[548.48, 613.24]
[529.48, 659.27]
[253.32, 379.52]
[253.32, 186.33]
[325.34, 239.97]
[653.01, 199.11]
[654.21, 746.64]
[321.93, 717.13]
[336.09, 753.72]
[190.72, 918.86]
[68.97, 837.16]
[68.97, 880.7]
[192.41, 1065.99]
[122.45, 1004.09]
[103.85, 1077.13]
[96.06, 867.99]
[614.96, 1311.93]
[333.56, 1334.93]
[322.31, 1266.18]
[262.0, 1281.52]
[193.51, 1189.8]
[438.85, 1095.98]
[419.17, 1079.74]
[419.17, 1107.8]
[491.51, 993.62]
[550.07, 1009.86]
[450.16, 840.41]
[433.44, 830.45]
[268.68, 884.18]
[548.38, 1156.62]
